"Test Case ID"	"Module"	"TC Description"	"Feature File"	"Gherkin Scenario / Outline Row"	"Tags"	"Automation Candidate"	"Priority"	"Risk Level"	"Verified"	"Notes"
"LOG-010"	"Login"	"Security — SQL injection in login"	"login.feature"	"Scenario: SQL injection payload in the login username field does not bypass authentication"	"@security @negative"	"No"	"Critical"	"Critical"	""	"Manual + DAST recommended"
"LOG-011"	"Login"	"Security — XSS in login form"	"login.feature"	"Scenario: XSS payload entered in the login username field is sanitised"	"@security @negative"	"No"	"Critical"	"Critical"	""	"Manual + DAST recommended"
"LOG-012"	"Login"	"Username case sensitivity"	"login.feature"	"Scenario: Username case sensitivity behaviour is consistent and documented"	"@boundary @regression"	"Yes"	"High"	"High"	""	""
"LOG-013"	"Login"	"Password trimming behaviour"	"login.feature"	"Scenario: Password with leading or trailing spaces does not silently succeed"	"@boundary @regression"	"Yes"	"Medium"	"Medium"	""	""
"LOG-014"	"Login"	"Brute force protection"	"login.feature"	"Scenario: Repeated failed login attempts trigger a brute force protection mechanism"	"@security @negative"	"No"	"Critical"	"Critical"	""	"CONFIRMED GAP — no lockout observed"
"LOG-015"	"Login"	"Password field masking on login form"	"login.feature"	"Scenario: Password field on the login form is masked"	"@security @smoke"	"Yes"	"Critical"	"Critical"	""	""
"LOG-016"	"Login"	"Session invalidation after logout"	"login.feature"	"Scenario: Session is invalidated after the user logs out"	"@security @regression"	"Yes"	"Critical"	"Critical"	""	""
"LOG-017"	"Login"	"Access control — protected page without auth"	"login.feature"	"Scenario: Accessing a protected page without authentication shows appropriate response"	"@security @regression"	"Yes"	"Critical"	"Critical"	""	"CONFIRMED GAP — internal error shown"
"LOG-018"	"Login"	"Session cookie security attributes"	"login.feature"	"Scenario: Session cookie has required security attributes"	"@security"	"No"	"Critical"	"Critical"	""	"CONFIRMED GAP — jsessionid in URL"
"LOG-019"	"Login"	"Concurrent sessions"	"login.feature"	"Scenario: Concurrent sessions with the same credentials are handled predictably"	"@security @exploratory"	"No"	"High"	"High"	""	""
"LOG-020"	"Login"	"Login form accessible on error page"	"login.feature"	"Scenario: Login form remains accessible on the error page for retry"	"@regression @usability"	"Yes"	"High"	"High"	""	""
"ACC-001"	"Account Overview"	"Balance displayed correctly"	"account_overview.feature"	"Scenario: Account balance is displayed correctly on the Accounts Overview page"	"@smoke @regression @positive"	"Yes"	"Critical"	"Critical"	""	""
"ACC-002"	"Account Overview"	"Account number link navigates to activity"	"account_overview.feature"	"Scenario: Clicking the account number navigates to the account activity page"	"@regression @positive"	"Yes"	"High"	"High"	""	""
"ACC-003"	"Account Overview"	"Total = sum of accounts"	"account_overview.feature"	"Scenario: The total balance row equals the sum of all individual account balances"	"@regression @positive"	"Yes"	"High"	"High"	""	""
"ACC-004"	"Account Overview"	"Balance disclaimer text present"	"account_overview.feature"	"Scenario: The balance disclaimer footnote is displayed on the Accounts Overview page"	"@regression @positive"	"Yes"	"Medium"	"Low"	""	""
"ACC-005"	"Account Overview"	"Unauthenticated access control"	"account_overview.feature"	"Scenario: Unauthenticated access to the Accounts Overview page is blocked"	"@security @regression"	"Yes"	"Critical"	"Critical"	""	"CONFIRMED GAP — internal error shown"
"ACC-006"	"Account Overview"	"IDOR — access another user's account"	"account_overview.feature"	"Scenario: A logged-in user cannot access another customer's account via URL manipulation"	"@security @regression"	"Yes"	"Critical"	"Critical"	""	""
"LKP-001"	"Customer Lookup"	"Valid lookup returns login info"	"customer_lookup.feature"	"Scenario: Valid customer details return the login information"	"@positive"	"No"	"High"	"High"	""	"OBSERVED: returns not-found even with valid data"
"LKP-002"	"Customer Lookup"	"Empty lookup form validation"	"customer_lookup.feature"	"Scenario: Submitting empty customer lookup form shows validation errors"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"LKP-003"	"Customer Lookup"	"Wrong SSN returns not-found error"	"customer_lookup.feature"	"Scenario: Customer lookup with incorrect SSN returns a not-found error"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"LKP-004"	"Customer Lookup"	"Brute force on lookup form"	"customer_lookup.feature"	"Scenario: Repeated customer lookup submissions trigger a rate-limiting protection mechanism"	"@security @negative"	"No"	"Critical"	"Critical"	""	"CONFIRMED GAP — no rate-limiting"
"LKP-005"	"Customer Lookup"	"Password not exposed via lookup"	"customer_lookup.feature"	"Scenario: A successful customer lookup does not expose the plain-text password"	"@security"	"No"	"Critical"	"Critical"	""	""
"SEC-001"	"Security"	"HTTPS enforcement"	"security.feature"	"Scenario: All application pages are served over HTTPS"	"@security"	"No"	"Critical"	"Critical"	""	""
"SEC-002"	"Security"	"Session ID not in URL"	"security.feature"	"Scenario: Session identifier is not exposed in URL parameters"	"@security"	"No"	"Critical"	"Critical"	""	"CONFIRMED GAP — jsessionid in URL"
"SEC-003"	"Security"	"XSS via URL parameter"	"security.feature"	"Scenario: Reflected XSS via URL parameters is blocked"	"@security @negative"	"No"	"Critical"	"Critical"	""	""
"SEC-004"	"Security"	"Error page information disclosure"	"security.feature"	"Scenario: Application error pages do not expose internal system information"	"@security"	"No"	"High"	"High"	""	""
"ACS-001"	"Accessibility"	"Login form label association"	"accessibility.feature"	"Scenario: Login form inputs have programmatically associated labels"	"@accessibility"	"No"	"High"	"High"	""	"CONFIRMED GAP — <p> tags used as labels"
"ACS-002"	"Accessibility"	"Registration form label association"	"accessibility.feature"	"Scenario: Registration form inputs have programmatically associated labels"	"@accessibility"	"No"	"High"	"High"	""	""
"ACS-003"	"Accessibility"	"Keyboard navigation — registration form"	"accessibility.feature"	"Scenario: The registration form can be completed and submitted using keyboard only"	"@accessibility"	"No"	"High"	"High"	""	""
"ACS-004"	"Accessibility"	"Validation errors announced to screen readers"	"accessibility.feature"	"Scenario: Validation errors on the registration form are announced to screen readers"	"@accessibility"	"No"	"High"	"High"	""	"No aria-live regions observed"
"ACS-005"	"Accessibility"	"Error text color contrast"	"accessibility.feature"	"Scenario: Validation error text meets WCAG 2.1 AA color contrast requirements"	"@accessibility"	"No"	"Medium"	"Medium"	""	""
"ACS-006"	"Accessibility"	"Page titles accurate at each step"	"accessibility.feature"	"Scenario Outline: Page titles accurately reflect the current page state"	"@accessibility @regression"	"Yes"	"Medium"	"Medium"	""	""
"ACS-007"	"Accessibility"	"Focus management after form error"	"accessibility.feature"	"Scenario: Keyboard focus moves to the first validation error after failed form submission"	"@accessibility"	"No"	"High"	"High"	""	""
"USE-001"	"Usability"	"Login form visibility above the fold"	"N/A — Manual"	"Manual test; no feature file"	""	"No"	"Medium"	"Low"	""	""
"USE-002"	"Usability"	"Missing password visibility toggle"	"N/A — Manual"	"Manual test; no feature file"	""	"No"	"Medium"	"Medium"	""	"UX gap"
"USE-003"	"Usability"	"No email field in registration"	"N/A — Manual"	"Manual test; no feature file"	""	"No"	"Medium"	"Medium"	""	"PII/security concern"
"PERF-001"	"Performance"	"Registration page load < 3s"	"N/A — Lighthouse/k6"	"Performance tool; no Cucumber feature file"	""	"No"	"High"	"Medium"	""	""
"PERF-002"	"Performance"	"Login response time < 2s"	"N/A — Lighthouse/k6"	"Performance tool; no Cucumber feature file"	""	"No"	"High"	"Medium"	""	""
"COMP-001"	"Compatibility"	"Cross-browser registration and login"	"N/A — Playwright config (projects)"	"Multi-browser via playwright.config.ts projects"	"@regression"	"Yes"	"High"	"High"	""	""
"COMP-002"	"Compatibility"	"Mobile viewport rendering"	"N/A — Playwright config (viewport)"	"Viewport test via playwright.config.ts"	"@regression"	"Yes"	"Medium"	"Medium"	""	""
"EXP-001"	"Exploratory"	"Back navigation after registration"	"N/A — Manual / Exploratory"	"Manual exploratory test"	"@exploratory"	"No"	"High"	"High"	""	""
"EXP-002"	"Exploratory"	"Emoji input in name fields"	"N/A — Manual / Exploratory"	"Manual exploratory test"	"@exploratory"	"No"	"Medium"	"Medium"	""	""
"EXP-003"	"Exploratory"	"Form submission via Enter key"	"N/A — can add to e2e_smoke.feature"	"Ad hoc keyboard test"	"@exploratory"	"Yes"	"Medium"	"Medium"	""	""
"EXP-004"	"Exploratory"	"Bookmarked URL after session expiry"	"N/A — Manual / Exploratory"	"Manual exploratory test"	"@exploratory"	"No"	"High"	"High"	""	""
"EXP-005"	"Exploratory"	"Rapid consecutive failed logins"	"N/A — Manual / Exploratory"	"Manual exploratory test"	"@exploratory"	"No"	"High"	"High"	""	"OBSERVED GAP — no rate-limiting"
"E2E-001"	"End-to-End Smoke"	"Register → auto-login → capture balance"	"e2e_smoke.feature"	"Scenario: Register a new customer, log in, and capture the account balance"	"@smoke @e2e @regression @critical"	"Yes"	"Critical"	"Critical"	""	"Master smoke test — run first in every CI pipeline"
